id,departure city,discount,price,no of items,location,class,segment,sub-class,delivery type,RID,profit,delivery date,address code,departure state,placement date
614,New York City,0.2,353.568,2,East,qexty,Consumer,pants,Standard Class,8610,-44.196,01-06-2018,10035,New York,01-06-2018
615,New York City,0,15.56,4,East,kariox,Consumer,battery,Standard Class,8609,4.0456,01-06-2018,10035,New York,01-06-2018
616,New York City,0,56.96,2,East,qexty,Consumer,shorts,Standard Class,8608,21.0752,01-06-2018,10035,New York,01-06-2018
617,Columbus,0.2,16.224,2,East,kariox,Home Office,phone,Standard Class,1875,5.8812,01-06-2018,43229,Ohio,01-06-2018
618,Decatur,0.2,132.696,3,Central,kariox,Consumer,laptop,First Class,9846,9.9522,01-06-2018,62521,Illinois,01-06-2018
619,Decatur,0.6,61.544,7,Central,qexty,Consumer,shorts,First Class,9845,-40.0036,01-06-2018,62521,Illinois,01-06-2018
620,Decatur,0.2,15.936,4,Central,kariox,Consumer,tablet,First Class,9844,5.1792,01-06-2018,62521,Illinois,01-06-2018
621,Midland,0,15.28,2,Central,kariox,Home Office,watch,Second Class,6323,7.4872,01-06-2018,48640,Michigan,01-06-2018
622,Seattle,0,515.88,6,West,qexty,Consumer,hoodies,Second Class,1700,113.4936,01-06-2018,98115,Washington,01-06-2018
623,Chicago,0.8,24.588,3,Central,kariox,Consumer,headset,Standard Class,6301,-38.1114,01-06-2018,60623,Illinois,01-06-2018
624,Hempstead,0,35,4,East,kariox,Consumer,television,Standard Class,2913,10.5,01-06-2018,11550,New York,01-06-2018
625,Roswell,0,8.56,2,South,kariox,Consumer,television,Standard Class,3888,2.6536,01-06-2018,30076,Georgia,01-06-2018
626,Orem,0,73.32,6,West,qexty,Home Office,shorts,Standard Class,720,21.996,01-06-2018,84057,Utah,01-06-2018
627,Orem,0.2,59.808,3,West,kariox,Home Office,headset,Standard Class,719,19.4376,01-06-2018,84057,Utah,01-06-2018
628,Detroit,0.1,65.52,5,Central,kariox,Corporate,battery,Standard Class,9151,12.376,01-06-2018,48234,Michigan,01-06-2018
629,Detroit,0,138.56,4,Central,kariox,Corporate,headset,Standard Class,9150,66.5088,01-06-2018,48234,Michigan,01-06-2018
630,Little Rock,0,881.93,7,South,fynota,Consumer,colddrinks,Standard Class,2202,229.3018,01-06-2018,72209,Arkansas,01-06-2018
631,Little Rock,0,22.2,6,South,qexty,Consumer,shorts,Standard Class,2201,9.102,01-06-2018,72209,Arkansas,01-06-2018
632,Lakewood,0,289.2,6,East,kariox,Home Office,television,Standard Class,308,83.868,01-06-2018,8701,New Jersey,01-06-2018
633,Lakewood,0,45.48,3,East,kariox,Home Office,headset,Standard Class,307,20.9208,01-06-2018,8701,New Jersey,01-06-2018
634,Lakeville,0,25.92,4,Central,kariox,Home Office,phone,Second Class,249,12.4416,01-06-2018,55044,Minnesota,01-06-2018
635,Lakeville,0,1503.25,5,Central,kariox,Home Office,battery,Second Class,248,496.0725,01-06-2018,55044,Minnesota,01-06-2018
636,Lakeville,0,47.88,6,Central,kariox,Home Office,phone,Second Class,247,23.94,01-06-2018,55044,Minnesota,01-06-2018
637,Lakeville,0,166.72,2,Central,kariox,Home Office,laptop,Second Class,246,41.68,01-06-2018,55044,Minnesota,01-06-2018
638,Lakeville,0,2001.86,7,Central,qexty,Home Office,tshirts,Second Class,245,580.5394,01-06-2018,55044,Minnesota,01-06-2018
639,Roswell,0,239.97,3,South,fynota,Consumer,colddrinks,Standard Class,3889,67.1916,01-06-2018,30076,Georgia,01-06-2018
640,Chicago,0.2,13.984,2,Central,kariox,Consumer,watch,Standard Class,6302,4.7196,01-06-2018,60623,Illinois,01-06-2018
641,Roswell,0,356.94,2,South,kariox,Consumer,laptop,Standard Class,3890,107.082,01-06-2018,30076,Georgia,01-06-2018
642,Jacksonville,0.7,1.365,1,South,kariox,Consumer,headset,Standard Class,6598,-0.91,01-06-2018,32216,Florida,01-06-2018
643,San Francisco,0,7.36,2,West,kariox,Consumer,charger,Standard Class,861,0.1472,01-06-2018,94122,California,01-06-2018
644,San Francisco,0,23.1,2,West,kariox,Consumer,television,Standard Class,862,10.626,01-06-2018,94122,California,01-06-2018
645,Harrisonburg,0,1441.3,7,South,qexty,Consumer,hoodies,Second Class,1812,245.021,01-06-2018,22801,Virginia,01-06-2018
646,North Las Vegas,0,18.06,7,West,kariox,Corporate,television,Second Class,4955,4.6956,01-06-2018,89031,Nevada,01-06-2018
647,North Las Vegas,0,79.14,3,West,kariox,Corporate,phone,Second Class,4956,36.4044,01-06-2018,89031,Nevada,01-06-2018
648,Detroit,0,491.55,5,Central,kariox,Corporate,tablet,Second Class,9697,240.8595,01-06-2018,48234,Michigan,01-06-2018
649,Huntsville,0.2,70.368,2,Central,kariox,Home Office,television,Second Class,491,6.1572,01-06-2018,77340,Texas,01-06-2018
650,Los Angeles,0,14.52,3,West,kariox,Corporate,television,Standard Class,1856,4.7916,01-06-2018,90032,California,01-06-2018
651,San Antonio,0.3,99.918,2,Central,qexty,Corporate,hoodies,Standard Class,916,-18.5562,01-06-2018,78207,Texas,01-06-2018
652,San Antonio,0.3,797.944,4,Central,qexty,Corporate,tshirts,Standard Class,917,-56.996,01-06-2018,78207,Texas,01-06-2018
653,San Antonio,0.8,8.568,3,Central,kariox,Corporate,headset,Standard Class,918,-14.5656,01-06-2018,78207,Texas,01-06-2018
654,El Paso,0.2,36.544,2,Central,kariox,Consumer,phone,Same Day,6938,11.8768,01-06-2018,79907,Texas,01-06-2018
655,Mishawaka,0,647.84,8,Central,qexty,Consumer,tshirts,Standard Class,2496,32.392,01-06-2018,46544,Indiana,01-06-2018
656,Houston,0.2,100.24,10,Central,kariox,Home Office,tablet,Standard Class,6473,33.831,01-06-2018,77070,Texas,01-06-2018
657,Detroit,0,212.94,3,Central,qexty,Home Office,pants,Standard Class,5221,57.4938,01-06-2018,48234,Michigan,01-06-2018
658,Huntsville,0.2,63.984,2,Central,fynota,Home Office,chocolates,Second Class,490,10.3974,01-06-2018,77340,Texas,01-06-2018
659,North Las Vegas,0,37.4,2,West,qexty,Corporate,shorts,Second Class,4957,14.212,01-06-2018,89031,Nevada,01-06-2018
660,Huntsville,0.2,7.992,1,Central,fynota,Home Office,colddrinks,Second Class,489,0.5994,01-06-2018,77340,Texas,01-06-2018
661,Peoria,0.8,12.462,3,Central,kariox,Corporate,headset,Second Class,394,-20.5623,01-06-2018,61604,Illinois,01-06-2018
662,Aurora,0.5,268.935,3,Central,qexty,Consumer,hoodies,Second Class,4722,-209.7693,01-06-2018,60505,Illinois,01-06-2018
663,Seattle,0.2,585.552,3,West,qexty,Consumer,tshirts,Standard Class,2750,73.194,01-06-2018,98115,Washington,01-06-2018
664,Bristol,0.2,170.352,3,South,qexty,Corporate,tshirts,Standard Class,3842,10.647,01-06-2018,37620,Tennessee,01-06-2018
665,Long Beach,0.2,68.48,2,East,kariox,Consumer,headset,Standard Class,9367,25.68,01-06-2018,11561,New York,01-06-2018
666,Long Beach,0,1676.88,6,East,kariox,Consumer,laptop,Standard Class,9368,83.844,01-06-2018,11561,New York,01-06-2018
667,Los Angeles,0,48.86,7,West,qexty,Consumer,shorts,Standard Class,6,14.1694,01-06-2018,90032,California,01-06-2018
668,Jacksonville,0.2,62.016,2,South,kariox,Consumer,phone,Standard Class,6599,22.4808,01-06-2018,32216,Florida,01-06-2018
669,Los Angeles,0.2,907.152,6,West,fynota,Consumer,colddrinks,Standard Class,8,90.7152,01-06-2018,90032,California,01-06-2018
670,Los Angeles,0.2,18.504,3,West,kariox,Consumer,headset,Standard Class,9,5.7825,01-06-2018,90032,California,01-06-2018
671,Los Angeles,0,114.9,5,West,kariox,Consumer,battery,Standard Class,10,34.47,01-06-2018,90032,California,01-06-2018
672,Los Angeles,0.2,1706.184,9,West,qexty,Consumer,hoodies,Standard Class,11,85.3092,01-06-2018,90032,California,01-06-2018
673,Los Angeles,0.2,911.424,4,West,fynota,Consumer,colddrinks,Standard Class,12,68.3568,01-06-2018,90032,California,01-06-2018
674,Los Angeles,0,7.28,4,West,kariox,Consumer,television,Standard Class,7,1.9656,01-06-2018,90032,California,01-06-2018
675,San Francisco,0,99.2,5,West,kariox,Corporate,television,Standard Class,1871,25.792,01-07-2018,94122,California,01-07-2018
676,San Francisco,0.2,801.568,2,West,qexty,Corporate,tshirts,Standard Class,1872,50.098,01-07-2018,94122,California,01-07-2018
677,San Francisco,0.2,272.848,1,West,qexty,Corporate,hoodies,Standard Class,1873,27.2848,01-07-2018,94122,California,01-07-2018
678,Dallas,0.8,4.992,3,Central,kariox,Corporate,battery,Standard Class,8022,-12.9792,01-07-2018,75217,Texas,01-07-2018
679,Dallas,0.2,87.92,5,Central,kariox,Corporate,watch,Standard Class,8023,29.673,01-07-2018,75217,Texas,01-07-2018
680,Dallas,0.3,657.93,5,Central,qexty,Corporate,tshirts,Standard Class,8024,-93.99,01-07-2018,75217,Texas,01-07-2018
681,Dallas,0.8,1.044,1,Central,kariox,Corporate,headset,Standard Class,8025,-1.827,01-07-2018,75217,Texas,01-07-2018
682,San Francisco,0,11.52,4,West,kariox,Consumer,television,Second Class,7167,3.2256,01-07-2018,94122,California,01-07-2018
683,New York City,0,5.96,2,East,kariox,Consumer,television,Standard Class,483,1.6688,01-07-2018,10024,New York,01-07-2018
684,New York City,0,159.98,2,East,fynota,Consumer,chocolates,Standard Class,484,57.5928,01-07-2018,10024,New York,01-07-2018
685,San Francisco,0.2,717.72,3,West,qexty,Consumer,tshirts,Second Class,7168,71.772,01-07-2018,94122,California,01-07-2018
686,San Francisco,0,236.5,10,West,kariox,Consumer,laptop,Second Class,7169,68.585,01-07-2018,94122,California,01-07-2018
687,San Francisco,0.2,170.352,3,West,qexty,Consumer,hoodies,Second Class,7170,19.1646,01-07-2018,94122,California,01-07-2018
688,Los Angeles,0,19.68,6,West,kariox,Home Office,television,Standard Class,9484,6.4944,01-07-2018,90008,California,01-07-2018
689,Omaha,0,35.98,2,Central,fynota,Consumer,colddrinks,Standard Class,8481,10.0744,01-07-2018,68104,Nebraska,01-07-2018
690,Riverside,0,535.41,3,West,kariox,Corporate,laptop,First Class,8133,160.623,01-07-2018,92503,California,01-07-2018
691,Bristol,0,20.88,2,East,kariox,Corporate,headset,Standard Class,3356,9.6048,01-07-2018,6010,Connecticut,01-07-2018
692,Riverside,0,11.96,2,West,kariox,Corporate,phone,First Class,8131,5.8604,01-07-2018,92503,California,01-07-2018
693,Houston,0.2,26.632,1,Central,kariox,Consumer,laptop,Second Class,9675,1.3316,01-07-2018,77095,Texas,01-07-2018
694,Bristol,0,3.81,1,East,kariox,Corporate,headset,Standard Class,3357,1.8288,01-07-2018,6010,Connecticut,01-07-2018
695,Dallas,0.2,342.864,3,Central,kariox,Home Office,laptop,Standard Class,3076,38.5722,01-07-2018,75217,Texas,01-07-2018
696,Dallas,0.6,16.74,5,Central,qexty,Home Office,shorts,Standard Class,3077,-14.229,01-07-2018,75217,Texas,01-07-2018
697,Dallas,0.3,981.372,2,Central,qexty,Home Office,tshirts,Standard Class,3078,-140.196,01-07-2018,75217,Texas,01-07-2018
698,Springfield,0.2,25.984,1,East,kariox,Consumer,laptop,Same Day,4395,-5.1968,01-07-2018,45503,Ohio,01-07-2018
699,Riverside,0,13.12,4,West,kariox,Corporate,television,First Class,8132,3.8048,01-07-2018,92503,California,01-07-2018
700,Springfield,0.7,27.36,3,East,kariox,Consumer,headset,Same Day,4396,-21.888,01-07-2018,45503,Ohio,01-07-2018
701,San Diego,0.2,8.704,2,West,kariox,Consumer,headset,First Class,5970,3.1552,01-07-2018,92105,California,01-07-2018
702,San Diego,0,19.92,4,West,kariox,Consumer,phone,First Class,5971,9.7608,01-07-2018,92105,California,01-07-2018
703,San Diego,0,43.02,3,West,qexty,Consumer,shorts,First Class,5972,15.4872,01-07-2018,92105,California,01-07-2018
704,San Francisco,0.2,89.712,6,West,kariox,Consumer,headset,First Class,7229,30.2778,01-07-2018,94122,California,01-07-2018
705,San Francisco,0,22.83,3,West,kariox,Consumer,phone,First Class,7230,10.7301,01-07-2018,94122,California,01-07-2018
706,Riverside,0,41.94,2,West,fynota,Corporate,chocolates,First Class,8130,15.0984,01-07-2018,92503,California,01-07-2018
707,San Diego,0,104.85,1,West,kariox,Consumer,phone,First Class,5969,50.328,01-07-2018,92105,California,01-07-2018
708,Tucson,0.7,8.16,5,West,kariox,Consumer,headset,Standard Class,373,-5.712,01-07-2018,85705,Arizona,01-07-2018
709,Apopka,0.2,48.944,7,South,kariox,Consumer,watch,Same Day,5689,16.5186,01-07-2018,32712,Florida,01-07-2018
710,Tucson,0.2,9.24,1,West,kariox,Consumer,television,Standard Class,375,0.924,01-07-2018,85705,Arizona,01-07-2018
711,Atlanta,0,25.71,3,South,qexty,Consumer,shorts,Standard Class,7343,9.2556,01-08-2018,30318,Georgia,01-07-2018
712,San Antonio,0.8,2177.584,8,Central,kariox,Consumer,headset,Standard Class,9775,-3701.8928,01-07-2018,78207,Texas,01-07-2018
713,San Antonio,0.6,17.496,3,Central,qexty,Consumer,shorts,Standard Class,9776,-10.0602,01-07-2018,78207,Texas,01-07-2018
714,San Antonio,0.8,16.784,4,Central,kariox,Consumer,headset,Standard Class,9777,-26.8544,01-07-2018,78207,Texas,01-07-2018
715,San Antonio,0.2,431.136,9,Central,fynota,Consumer,chocolates,Standard Class,9778,-26.946,01-07-2018,78207,Texas,01-07-2018
716,San Antonio,0.8,8.88,5,Central,kariox,Consumer,headset,Standard Class,9779,-13.32,01-07-2018,78207,Texas,01-07-2018
717,Atlanta,0,162.89,13,South,kariox,Consumer,tablet,Standard Class,7342,76.5583,01-08-2018,30318,Georgia,01-07-2018
718,San Antonio,0.8,4.836,2,Central,kariox,Consumer,battery,Standard Class,9780,-12.09,01-07-2018,78207,Texas,01-07-2018
719,New York City,0,65.78,11,East,kariox,Corporate,phone,Standard Class,4580,32.2322,01-08-2018,10035,New York,01-07-2018
720,Los Angeles,0,276.28,2,West,kariox,Corporate,laptop,Second Class,8888,0,01-07-2018,90036,California,01-07-2018
721,Apopka,0.2,14.32,5,South,kariox,Consumer,lighting,Same Day,5687,5.191,01-07-2018,32712,Florida,01-07-2018
722,Apopka,0.2,129.888,6,South,qexty,Consumer,shorts,Same Day,5688,12.9888,01-07-2018,32712,Florida,01-07-2018
723,Bristol,0.3,70.56,1,East,qexty,Corporate,hoodies,Standard Class,3355,-4.032,01-07-2018,6010,Connecticut,01-07-2018
724,Seattle,0,1367.84,8,West,qexty,Corporate,pants,Standard Class,5162,259.8896,01-08-2018,98103,Washington,01-07-2018
725,San Francisco,0,238,2,West,fynota,Consumer,chocolates,Second Class,3866,38.08,01-07-2018,94122,California,01-07-2018
726,Atlanta,0,67.88,2,South,qexty,Consumer,tshirts,Standard Class,7341,18.3276,01-08-2018,30318,Georgia,01-07-2018
727,Draper,0,111.93,7,West,fynota,Corporate,chocolates,Standard Class,6423,34.6983,01-08-2018,84020,Utah,01-07-2018
728,North Las Vegas,0,170.97,3,West,fynota,Consumer,chocolates,Standard Class,3841,70.0977,01-08-2018,89031,Nevada,01-07-2018
729,Tucson,0.2,479.04,10,West,fynota,Consumer,chocolates,Standard Class,376,-29.94,01-07-2018,85705,Arizona,01-07-2018
730,New York City,0,99.98,2,East,fynota,Consumer,chocolates,First Class,7411,7.9984,01-07-2018,10011,New York,01-07-2018
731,San Francisco,0.2,604.752,6,West,fynota,Corporate,colddrinks,Standard Class,9422,60.4752,01-07-2018,94122,California,01-07-2018
732,San Francisco,0,40.7,5,West,kariox,Corporate,charger,Standard Class,9423,11.803,01-07-2018,94122,California,01-07-2018
733,San Francisco,0.2,302.376,3,West,fynota,Corporate,colddrinks,Standard Class,9424,37.797,01-07-2018,94122,California,01-07-2018
734,San Francisco,0,45,3,West,fynota,Corporate,chocolates,Standard Class,9425,4.95,01-07-2018,94122,California,01-07-2018
735,San Francisco,0,53.72,4,West,kariox,Consumer,laptop,Second Class,2505,15.0416,01-07-2018,94122,California,01-07-2018
736,San Francisco,0,8187.65,5,West,kariox,Consumer,charger,Second Class,2506,327.506,01-07-2018,94122,California,01-07-2018
737,San Francisco,0,77.92,8,West,qexty,Consumer,shorts,Second Class,2507,34.2848,01-07-2018,94122,California,01-07-2018
738,Los Angeles,0,6.48,1,West,kariox,Home Office,phone,Second Class,3647,3.1752,01-07-2018,90045,California,01-07-2018
739,Los Angeles,0,15.52,4,West,kariox,Home Office,charger,Second Class,3648,4.5008,01-07-2018,90045,California,01-07-2018
740,Chicago,0.2,123.552,3,Central,kariox,Consumer,laptop,Second Class,2344,-29.3436,01-07-2018,60623,Illinois,01-07-2018
741,North Las Vegas,0.2,911.984,2,West,fynota,Consumer,colddrinks,Standard Class,3838,113.998,01-08-2018,89031,Nevada,01-07-2018
742,North Las Vegas,0.2,674.352,3,West,qexty,Consumer,tshirts,Standard Class,3839,-109.5822,01-08-2018,89031,Nevada,01-07-2018
743,North Las Vegas,0,134.01,9,West,qexty,Consumer,shorts,Standard Class,3840,36.1827,01-08-2018,89031,Nevada,01-07-2018
744,Tucson,0.2,1023.936,8,West,fynota,Consumer,chocolates,Standard Class,374,179.1888,01-07-2018,85705,Arizona,01-07-2018
745,Bristol,0,359.98,2,East,fynota,Corporate,colddrinks,Standard Class,3354,93.5948,01-07-2018,6010,Connecticut,01-07-2018
746,Great Falls,0.2,6.096,2,West,kariox,Home Office,headset,Standard Class,5589,2.2098,01-07-2018,59405,Montana,01-07-2018
747,Tucson,0.2,259.136,4,West,qexty,Home Office,tshirts,Same Day,2103,-25.9136,01-07-2018,85705,Arizona,01-07-2018
748,New York City,0.2,559.992,1,East,fynota,Consumer,fastfood,First Class,1550,174.9975,01-07-2018,10011,New York,01-07-2018
749,El Cajon,0.2,478.48,2,West,qexty,Home Office,tshirts,Standard Class,6846,47.848,01-07-2018,92020,California,01-07-2018
750,Philadelphia,0.3,172.186,2,East,qexty,Consumer,tshirts,Standard Class,4398,-46.7362,01-07-2018,19120,Pennsylvania,01-07-2018
751,Philadelphia,0.2,69.008,2,East,qexty,Consumer,shorts,Standard Class,4399,12.0764,01-07-2018,19120,Pennsylvania,01-07-2018
752,Buffalo,0.1,63.882,1,East,qexty,Consumer,tshirts,First Class,4780,10.647,01-07-2018,14215,New York,01-07-2018
753,San Francisco,0.2,502.488,3,West,qexty,Corporate,hoodies,Standard Class,6288,-87.9354,01-07-2018,94122,California,01-07-2018
754,Palm Coast,0.2,213.216,3,South,qexty,Corporate,shorts,First Class,5439,15.9912,01-07-2018,32137,Florida,01-07-2018
755,San Francisco,0.2,196.704,6,West,kariox,Corporate,headset,Standard Class,6289,68.8464,01-07-2018,94122,California,01-07-2018
756,Dallas,0.2,14.352,3,Central,kariox,Corporate,phone,Standard Class,3368,4.485,01-07-2018,75217,Texas,01-07-2018
757,Los Angeles,0,2.88,1,West,kariox,Home Office,tablet,Standard Class,8173,1.4112,01-07-2018,90049,California,01-07-2018
758,Los Angeles,0.2,41.904,6,West,kariox,Home Office,headset,Standard Class,8174,14.1426,01-07-2018,90049,California,01-07-2018
759,Los Angeles,0,23.92,4,West,kariox,Home Office,laptop,Standard Class,8175,4.0664,01-07-2018,90049,California,01-07-2018
760,San Francisco,0.2,14.304,6,West,kariox,Home Office,headset,Standard Class,9243,4.6488,01-07-2018,94122,California,01-07-2018
761,San Francisco,0.15,119.833,1,West,qexty,Home Office,pants,Standard Class,9244,7.049,01-07-2018,94122,California,01-07-2018
762,Dallas,0.2,10.368,2,Central,kariox,Corporate,phone,Standard Class,3367,3.6288,01-07-2018,75217,Texas,01-07-2018
763,Palm Coast,0.2,19.52,2,South,qexty,Corporate,shorts,First Class,5437,5.368,01-07-2018,32137,Florida,01-07-2018
764,Knoxville,0.2,4.368,3,South,kariox,Corporate,television,Standard Class,3885,0.3822,01-07-2018,37918,Tennessee,01-07-2018
765,Los Angeles,0.2,180.96,6,West,kariox,Home Office,headset,Standard Class,3791,67.86,01-07-2018,90004,California,01-07-2018
766,New Rochelle,0.2,13.904,2,East,kariox,Consumer,headset,Standard Class,9030,4.5188,01-07-2018,10801,New York,01-07-2018
767,Seattle,0.2,19.92,5,West,kariox,Corporate,headset,Second Class,716,6.972,01-07-2018,98105,Washington,01-07-2018
768,Deltona,0.2,575.92,2,South,fynota,Corporate,colddrinks,Standard Class,1319,71.99,01-07-2018,32725,Florida,01-07-2018
769,Deltona,0.7,5.184,6,South,kariox,Corporate,headset,Standard Class,1320,-3.6288,01-07-2018,32725,Florida,01-07-2018
770,Plainfield,0,73.98,2,East,fynota,Consumer,colddrinks,Standard Class,2733,19.9746,01-07-2018,7060,New Jersey,01-07-2018
771,Plainfield,0,5.58,1,East,kariox,Consumer,television,Standard Class,2734,2.1762,01-07-2018,7060,New Jersey,01-07-2018
772,Aurora,0.2,177.536,4,West,kariox,Corporate,phone,First Class,6733,62.1376,01-07-2018,80013,Colorado,01-07-2018
773,Aurora,0.2,32.432,2,West,kariox,Corporate,battery,First Class,6734,3.2432,01-07-2018,80013,Colorado,01-07-2018
774,Richmond,0,21.84,3,South,kariox,Consumer,phone,Standard Class,7162,10.92,01-07-2018,23223,Virginia,01-07-2018
775,Richmond,0,15.6,5,South,kariox,Consumer,headset,Standard Class,7163,7.644,01-07-2018,23223,Virginia,01-07-2018
776,Jackson,0,479.97,3,South,fynota,Consumer,chocolates,First Class,686,163.1898,01-07-2018,39212,Mississippi,01-07-2018
777,Jackson,0,14.62,2,South,kariox,Consumer,tablet,First Class,687,6.8714,01-07-2018,39212,Mississippi,01-07-2018
778,Jackson,0,19.44,3,South,kariox,Consumer,phone,First Class,688,9.3312,01-07-2018,39212,Mississippi,01-07-2018
779,Houston,0.2,220.776,3,Central,kariox,Consumer,laptop,Same Day,1356,-44.1552,01-07-2018,77036,Texas,01-07-2018
780,Houston,0.2,281.424,11,Central,kariox,Consumer,laptop,Same Day,1357,-35.178,01-07-2018,77036,Texas,01-07-2018
781,San Francisco,0,5.56,2,West,kariox,Home Office,television,Standard Class,9245,2.224,01-07-2018,94122,California,01-07-2018
782,San Francisco,0,32.4,5,West,kariox,Home Office,phone,Standard Class,9246,15.552,01-07-2018,94122,California,01-07-2018
783,Palm Coast,0.7,9.81,5,South,kariox,Corporate,headset,First Class,5438,-6.867,01-07-2018,32137,Florida,01-07-2018
784,Hackensack,0,197.97,3,East,fynota,Corporate,colddrinks,Standard Class,1030,57.4113,01-07-2018,7601,New Jersey,01-07-2018
785,League City,0.2,22.288,7,Central,kariox,Home Office,television,Standard Class,8316,3.9004,01-07-2018,77573,Texas,01-07-2018
786,League City,0.2,16.032,3,Central,kariox,Home Office,phone,Standard Class,8317,5.6112,01-07-2018,77573,Texas,01-07-2018
787,Los Angeles,0.2,351.216,3,West,qexty,Corporate,hoodies,Standard Class,4552,4.3902,01-07-2018,90049,California,01-07-2018
788,Aurora,0.8,29.932,7,Central,kariox,Home Office,headset,Standard Class,2207,-46.3946,01-07-2018,60505,Illinois,01-07-2018
789,Aurora,0.2,38.272,4,Central,fynota,Home Office,colddrinks,Standard Class,2208,3.8272,01-07-2018,60505,Illinois,01-07-2018
790,Philadelphia,0.4,13.494,1,East,fynota,Consumer,colddrinks,Standard Class,6932,-2.249,01-07-2018,19140,Pennsylvania,01-07-2018
791,League City,0.2,3.488,2,Central,kariox,Home Office,lighting,Standard Class,8315,0.5668,01-07-2018,77573,Texas,01-07-2018
792,Philadelphia,0.4,23.988,2,East,fynota,Consumer,colddrinks,Standard Class,6933,-13.993,01-07-2018,19140,Pennsylvania,01-07-2018
793,Philadelphia,0.2,41.584,2,East,kariox,Consumer,television,Standard Class,6935,4.6782,01-07-2018,19140,Pennsylvania,01-07-2018
794,Newark,0,39.48,1,East,kariox,Home Office,battery,Standard Class,7624,11.0544,01-07-2018,19711,Delaware,01-07-2018
795,New York City,0,17.94,3,East,kariox,Corporate,television,Second Class,8053,4.485,01-07-2018,10009,New York,01-07-2018
796,Sioux Falls,0,2.97,3,Central,fynota,Corporate,chocolates,Standard Class,3270,1.3068,01-07-2018,57103,South Dakota,01-07-2018
797,Hackensack,0,177.2,5,East,kariox,Corporate,phone,Standard Class,1029,83.284,01-07-2018,7601,New Jersey,01-07-2018
798,Sioux Falls,0,6.54,3,Central,kariox,Corporate,lighting,Standard Class,3271,2.6814,01-07-2018,57103,South Dakota,01-07-2018
799,Philadelphia,0.2,31.984,2,East,qexty,Consumer,shorts,Standard Class,6934,1.1994,01-07-2018,19140,Pennsylvania,01-07-2018
800,League City,0.3,512.358,3,Central,qexty,Home Office,tshirts,Standard Class,8314,-14.6388,01-07-2018,77573,Texas,01-07-2018
801,Phoenix,0.2,55.92,5,West,kariox,Consumer,laptop,Standard Class,2996,6.291,01-07-2018,85023,Arizona,01-07-2018
802,New York City,0,49.12,4,East,kariox,Consumer,phone,Standard Class,6335,23.0864,01-07-2018,10011,New York,01-07-2018
803,Chicago,0.2,23.84,4,Central,fynota,Consumer,chocolates,Second Class,7400,3.278,01-07-2018,60610,Illinois,01-07-2018
804,Hackensack,0,14.4,5,East,kariox,Corporate,tablet,Standard Class,1033,7.056,01-07-2018,7601,New Jersey,01-07-2018
805,El Paso,0.2,575.968,4,Central,fynota,Consumer,colddrinks,First Class,5801,43.1976,01-07-2018,79907,Texas,01-07-2018
806,El Paso,0.2,10.368,2,Central,kariox,Consumer,phone,First Class,5802,3.6288,01-07-2018,79907,Texas,01-07-2018
807,New York City,0.2,18.28,5,East,kariox,Consumer,headset,Standard Class,6336,6.398,01-07-2018,10011,New York,01-07-2018
808,Hackensack,0,124.11,9,East,qexty,Corporate,shorts,Standard Class,1032,52.1262,01-07-2018,7601,New Jersey,01-07-2018
809,San Francisco,0.2,7.712,2,West,kariox,Corporate,headset,Standard Class,338,2.7956,01-07-2018,94122,California,01-07-2018
810,Niagara Falls,0,164.85,3,East,fynota,Consumer,colddrinks,First Class,9934,47.8065,01-07-2018,14304,New York,01-07-2018
811,San Francisco,0.2,698.352,3,West,qexty,Corporate,hoodies,Standard Class,339,-17.4588,01-07-2018,94122,California,01-07-2018
812,Los Angeles,0,249.75,9,West,kariox,Home Office,laptop,Standard Class,1221,44.955,01-07-2018,90036,California,01-07-2018
813,Los Angeles,0.2,255.936,8,West,fynota,Home Office,colddrinks,Standard Class,1222,28.7928,01-07-2018,90036,California,01-07-2018
814,Seattle,0.2,123.136,4,West,qexty,Consumer,tshirts,Standard Class,2982,13.8528,01-07-2018,98115,Washington,01-07-2018
815,Seattle,0.2,11.264,4,West,kariox,Consumer,headset,Standard Class,2983,3.8016,01-07-2018,98115,Washington,01-07-2018
816,Chicago,0.2,35.856,9,Central,kariox,Consumer,phone,Second Class,7399,12.9978,01-07-2018,60610,Illinois,01-07-2018
817,Hackensack,0,854.94,3,East,qexty,Corporate,tshirts,Standard Class,1031,213.735,01-07-2018,7601,New Jersey,01-07-2018
818,Lakewood,0.2,3.912,1,East,kariox,Home Office,television,Second Class,4303,1.0269,01-08-2018,44107,Ohio,01-08-2018
819,Hampton,0,896.99,1,South,kariox,Corporate,headset,Standard Class,9735,421.5853,01-08-2018,23666,Virginia,01-08-2018
820,North Miami,0.2,7.632,3,South,kariox,Consumer,charger,Second Class,8941,-1.8126,01-08-2018,33161,Florida,01-08-2018
821,Denver,0.2,223.056,9,West,kariox,Consumer,phone,Standard Class,7025,69.705,01-08-2018,80219,Colorado,01-08-2018
822,Saint Charles,0,11.56,2,Central,kariox,Consumer,phone,First Class,9366,5.6644,01-08-2018,63301,Missouri,01-08-2018
823,Hampton,0,500.24,13,South,qexty,Corporate,tshirts,Standard Class,9733,145.0696,01-08-2018,23666,Virginia,01-08-2018
824,Hampton,0,20.12,2,South,kariox,Corporate,phone,Standard Class,9734,9.2552,01-08-2018,23666,Virginia,01-08-2018
